height_cm,weight_kg,weak_foot,skill_moves,work_rate,body_type,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_balance
169,67,3,4,3,23.458562375266975,93.0,89.0,86.0,96.0,27.0,63.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
185,80,4,5,6,23.37472607742878,93.0,93.0,81.0,91.0,32.0,79.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
180,80,2,4,6,24.691358024691358,93.0,86.0,83.0,92.0,32.0,64.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
195,95,4,4,3,24.983563445101908,76.0,91.0,81.0,86.0,34.0,86.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
193,92,4,1,4,24.69864962817794,0.0,0.0,0.0,0.0,0.0,0.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
181,81,4,4,7,24.724520008546747,83.0,87.0,79.0,88.0,42.0,79.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
173,74,4,4,7,24.725182932941294,90.0,82.0,84.0,91.0,32.0,64.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
187,71,3,4,3,20.303697560696612,74.0,90.0,82.0,83.0,33.0,68.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
183,79,3,3,8,23.589835468362743,61.0,81.0,85.0,82.0,78.0,80.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
170,72,4,5,7,24.913494809688583,89.0,78.0,85.0,92.0,29.0,62.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
177,72,4,4,7,22.981901752370007,77.0,86.0,64.0,81.0,40.0,73.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
183,74,3,4,7,22.096807907073963,94.0,83.0,83.0,84.0,63.0,81.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
184,78,4,4,7,23.03875236294896,80.0,84.0,74.0,85.0,39.0,78.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
170,66,3,3,8,22.837370242214536,76.0,56.0,84.0,83.0,87.0,67.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
183,75,3,3,7,22.395413419331717,79.0,61.0,71.0,66.0,87.0,82.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
183,79,3,3,5,23.589835468362743,78.0,57.0,72.0,72.0,90.0,80.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
170,67,2,4,6,23.18339100346021,76.0,77.0,86.0,89.0,33.0,57.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
174,65,4,4,7,21.469150482230148,76.0,74.0,85.0,89.0,71.0,70.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
180,75,3,4,4,23.148148148148145,79.0,80.0,84.0,85.0,40.0,72.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
175,64,5,5,7,20.897959183673468,90.0,80.0,72.0,92.0,30.0,58.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
199,88,3,1,4,22.22166106916492,0.0,0.0,0.0,0.0,0.0,0.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
192,90,3,2,7,24.4140625,66.0,59.0,75.0,71.0,88.0,78.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
